transID,transDate,transAmt,customerID,cc,ccType
07-433439,7/20/2023,$352.93,831921095,5002354716719974,mastercard
14-309252,12/15/2023,$846.41,176455256,344949331755853,americanexpress
31-130231,5/17/2023,$704.32,886996639,5521056604405622,mastercard
84-275263,4/20/2024,$335.17,231978487,4041594120120493,visa
29-252452,11/23/2023,$567.48,391329650,4041377926677159,visa
24-508308,12/25/2023,$427.20,536972925,5375261861893778,mastercard
90-581841,10/12/2023,$339.17,020824042,5048376039721615,mastercard
42-416514,10/13/2023,$748.99,903688837,4017951618181801,visa
61-430659,9/28/2023,$197.14,036955878,337941333245198,americanexpress
75-626643,2/7/2024,$929.95,680608265,5100135893917106,mastercard
29-769987,12/14/2023,$300.33,165337047,5237127852882849,mastercard
05-001317,5/4/2023,$980.06,530485666,340252692414143,americanexpress
30-303420,8/4/2023,$337.10,456817282,4017950569780967,visa
32-981282,12/22/2023,$281.40,572464138,375281330859250,americanexpress
87-467479,11/17/2023,$998.80,565538671,5524096081509279,mastercard
48-542818,10/5/2023,$923.54,138296222,5273362721883133,mastercard
17-903086,1/18/2024,$480.01,762691798,4400836386349737,visa
71-956748,4/10/2024,$378.87,869452538,374288435827950,americanexpress
82-350283,5/29/2023,$870.54,107215512,374283689169043,americanexpress
03-547090,6/21/2023,$318.98,702277799,337941250791265,americanexpress
56-826950,9/18/2023,$306.74,464367027,4187322217937,visa
30-154208,10/14/2023,$211.06,165875480,4041377626907534,visa
36-613234,2/1/2024,$300.92,549667852,5010120222927009,mastercard
56-141909,4/17/2024,$260.41,509305380,4041378137287655,visa
01-306205,9/20/2023,$435.63,091855425,4017950206361585,visa
05-828323,9/13/2023,$392.14,879662087,4041590437166,visa
55-690589,11/20/2023,$313.75,046501868,5002358913525423,mastercard
94-218753,3/29/2024,$222.46,520136703,5100134237987867,mastercard
81-718885,5/13/2023,$541.21,767363160,4894102652304,visa
08-422617,5/21/2023,$896.29,696458373,5108753187795731,mastercard
54-481824,3/17/2024,$214.51,623919815,4133137618536694,visa
21-886172,2/9/2024,$465.90,807214012,4041371328279,visa
20-037224,2/5/2024,$782.40,715644785,5010129184424681,mastercard
96-066101,10/2/2023,$133.48,362541442,4747803103227,visa
24-046507,9/2/2023,$251.77,279739621,4041375077754827,visa
14-324916,11/22/2023,$882.43,437467415,4041590986729138,visa
26-498400,9/4/2023,$509.40,251394871,348319532275075,americanexpress
45-875779,2/14/2024,$653.94,584925079,337941183938033,americanexpress
62-956672,7/8/2023,$462.02,504580975,5522847097350989,mastercard
53-866152,3/16/2024,$762.89,646806426,5218987801754651,mastercard
16-969654,11/10/2023,$916.74,710307451,5010127749023790,mastercard
05-873457,1/17/2024,$667.88,044404792,5100131978330026,mastercard
65-394737,10/29/2023,$877.07,701985005,4019456723725839,visa
39-857946,1/22/2024,$832.84,813853562,5100141513659938,mastercard
97-685202,6/23/2023,$709.73,281755143,5100170625446512,mastercard
79-015838,7/27/2023,$32.35,770141542,4041593856263,visa
49-078531,11/27/2023,$553.89,445252183,4041595232102352,visa
27-199427,12/28/2023,$100.71,498303153,377300440860491,americanexpress
28-205852,8/13/2023,$186.70,937453834,4041374765485,visa
85-100148,3/7/2024,$160.18,693754976,374622363488114,americanexpress
36-050420,11/24/2023,$566.49,390804387,5348785895631394,mastercard
91-875122,3/29/2024,$84.78,180481857,337941130253114,americanexpress
99-506368,2/15/2024,$538.29,623371656,337941810477389,americanexpress
05-280570,5/17/2023,$378.11,059522332,4017955608391205,visa
07-708063,9/5/2023,$168.61,132017487,5248343784180015,mastercard
86-521225,5/5/2023,$813.48,732711440,376119181544903,americanexpress
72-375246,11/27/2023,$256.93,104944172,4041595357045204,visa
92-942039,6/22/2023,$57.87,463350216,5002351121324689,mastercard
44-324123,5/31/2023,$143.53,988846566,4017953281847,visa
65-242223,2/24/2024,$314.20,099942770,5440296476274452,mastercard
61-690999,6/14/2023,$347.46,909275917,337941764218409,americanexpress
94-730903,12/3/2023,$649.43,285205057,4041592455992,visa
75-256231,11/24/2023,$625.97,144285366,372301090217672,americanexpress
18-436354,1/20/2024,$102.41,397381110,374515497629787,americanexpress
56-300469,12/6/2023,$121.11,149040035,5048373270860350,mastercard
50-234480,11/8/2023,$502.58,932002160,375814035690230,americanexpress
90-533995,4/2/2024,$918.84,581307451,374288654884724,americanexpress
70-516808,6/3/2023,$191.76,887162994,374283652815382,americanexpress
16-566007,10/3/2023,$313.11,534934978,344272748810090,americanexpress
91-505146,3/16/2024,$279.53,222960083,4041375736055,visa
12-104416,5/3/2023,$546.66,052524827,5100175617596430,mastercard
93-586646,3/29/2024,$861.02,593038573,374622443704233,americanexpress
40-539966,1/21/2024,$541.29,608978824,4041372558582934,visa
23-586258,9/25/2023,$566.23,233049515,374622347119371,americanexpress
71-812957,9/6/2023,$449.73,180548854,341077671530547,americanexpress
87-542933,2/24/2024,$543.85,395121612,5108756173353183,mastercard
20-924775,5/2/2023,$801.66,208010630,4041378951287229,visa
76-612338,11/20/2023,$897.93,963797491,370062840504429,americanexpress
38-890769,2/24/2024,$793.80,152088261,345982412577614,americanexpress
93-668339,8/25/2023,$10.25,322905247,4041375984098623,visa
59-012861,7/7/2023,$281.24,116877766,374622441148557,americanexpress
64-581026,4/12/2024,$979.92,419941238,5413657075795036,mastercard
46-117009,1/9/2024,$184.67,783334452,5100139206923058,mastercard
25-197909,12/10/2023,$226.29,866249336,4429804371144775,visa
52-472594,6/6/2023,$337.38,896510557,4041373267898884,visa
88-476809,7/31/2023,$371.66,788612982,337941203645469,americanexpress
99-433508,3/5/2024,$859.98,695038826,4017958811424540,visa
42-468842,8/11/2023,$472.89,680076836,4017952126831515,visa
35-347602,10/22/2023,$152.99,848782306,374622439832055,americanexpress
17-231201,6/9/2023,$495.80,276463229,4041374757063476,visa
21-927181,4/20/2024,$970.77,710866200,337941740844120,americanexpress
52-999344,5/14/2023,$778.85,484536652,372301815513579,americanexpress
85-644107,6/13/2023,$631.95,006363630,4041375526004428,visa
44-063064,3/31/2024,$801.44,451471170,5571324625339850,mastercard
93-870400,7/6/2023,$436.78,033081131,374283321070153,americanexpress
85-071837,7/2/2023,$141.20,886348395,378972012012542,americanexpress
96-610332,2/21/2024,$414.86,336235806,4041597134535,visa
01-517888,1/13/2024,$668.08,337691100,4017956671689,visa
60-709227,1/7/2024,$511.23,434624530,379329358788285,americanexpress
46-013868,7/29/2023,$417.29,854433155,4041372298747342,visa
